lat,lon,Record Count
41.880994471,-87.632746489,3234087
41.884987192,-87.620992913,1805483
41.892507781,-87.626214906,1305876
41.97907082,-87.903039661,1237978
41.892042136,-87.63186395,1182031
41.899602111,-87.633308037,1048410
41.879255084,-87.642648998,958570
41.944226601,-87.655998182,841659
41.890922026,-87.618868355,832643
41.89321636,-87.63784421,712225
41.899155613,-87.626210532,680768
41.877406123,-87.621971652,615144
41.878865584,-87.625192142,611149
41.885300022,-87.642808466,593915
41.892072635,-87.628874157,535694
41.898331794,-87.620762865,533826
41.89503345,-87.619710672,519315
41.922686284,-87.649488729,488627
41.901206994,-87.676355989,455640
41.859349715,-87.617358006,400313
41.874005383,-87.66351755,383772
41.785998518,-87.750934289,355412
41.88528132,-87.6572332,330871
41.980264315,-87.913624596,319815
41.891971508,-87.612945414,318044
41.96581197,-87.655878786,293187
41.870607372,-87.622172937,285979
41.9867118,-87.663416405,251061
41.90749193,-87.63576009,231153
41.92276062,-87.699155343,213137
41.900221297,-87.629105186,213061
41.914616286,-87.631717366,211624
41.902788048,-87.62614559,203942
41.849246754,-87.624135298,170512
41.900265687,-87.63210922,169310
41.905857769,-87.630865027,158554
41.907520075,-87.6266589,155733
41.904935302,-87.649907226,153808
41.975170943,-87.687515515,135308
41.947791586,-87.683834942,131749
42.001571027,-87.695012589,125755
42.009622881,-87.670166857,116699
41.79259236,-87.769615453,112115
41.953582125,-87.72345239,106667
41.879066994,-87.657005027,105239
41.946294536,-87.654298084,87848
41.922082541,-87.634156093,86281
41.942691844,-87.651770507,83995
41.857183858,-87.620334624,82577
41.906025969,-87.675311622,82102
41.89830587,-87.653613982,78463
41.938666196,-87.711210593,70725
41.968069,-87.721559063,67413
41.867902418,-87.642958665,66756
41.794090253,-87.592310855,64277
41.909495669,-87.630963601,58265
41.949829346,-87.64396537,52400
41.921854911,-87.646210977,51474
41.87101588,-87.631406525,50991
41.929046937,-87.651310877,50078
41.936310131,-87.651562592,48658
41.929077655,-87.646293476,47632
41.892658108,-87.652534484,46490
41.914747305,-87.654007029,46431
41.978829526,-87.771166703,44066
41.942577185,-87.647078509,43840
41.87866742,-87.671653621,38719
41.938391258,-87.63857492,38176
41.921778188,-87.651061884,37642
41.92926299,-87.635890954,37597
41.835117986,-87.618677767,35987
41.943155086,-87.640698076,33740
41.954027649,-87.763399032,33481
41.949139771,-87.656803909,31677
41.934762456,-87.639853859,31676
41.934659157,-87.646729729,27475
41.94258518,-87.656644092,27177
41.906650766,-87.66533766,26676
41.962178629,-87.645378762,26357
41.908378669,-87.670945075,25256
41.958154876,-87.653021789,24800
41.850266366,-87.667569312,24516
41.949220914,-87.651970395,24455
41.808916283,-87.596183344,23969
41.870415,-87.675085621,23420
41.842076117,-87.633973422,22848
41.900069603,-87.720918238,22489
41.897983898,-87.641491533,22310
41.936237179,-87.656411531,22112
41.938232293,-87.646782081,22053
41.983636307,-87.723583185,21541
41.921778356,-87.641459759,21367
41.926811182,-87.642605247,19083
41.985015101,-87.804532006,19015
41.958055933,-87.660389456,18869
41.790506261,-87.583143717,17581
41.833517886,-87.681355829,16981
41.953400044,-87.646007066,16937
41.93057857,-87.642206313,16461
41.927260956,-87.765501609,15503
41.916005274,-87.675095116,14141
41.899506548,-87.679600287,13407
41.921125914,-87.699754406,12363
41.928967266,-87.656156831,12128
41.836150155,-87.648787952,11468
41.899589796,-87.674719134,11454
41.914585709,-87.645966207,11314
41.921877461,-87.66407824,11207
41.899737388,-87.664953917,11136
41.936159071,-87.661265218,11088
41.979795551,-87.671445547,11076
41.812948939,-87.617859676,10852
41.972667956,-87.663865496,10740
41.89967018,-87.669837798,10731
41.907412816,-87.640901525,10617
41.878914496,-87.70589713,10446
41.952822916,-87.653243992,10424
41.90156691,-87.638404012,10281
41.890608853,-87.756046711,9781
41.945170453,-87.668794439,9256
41.950673358,-87.666536281,9061
41.912364354,-87.675062757,8840
41.829922304,-87.672502646,8756
41.942859303,-87.717503858,8663
41.993930128,-87.758353588,8651
41.761577908,-87.572781987,8647
41.946489764,-87.647113634,8282
41.972709547,-87.657341107,8113
41.924347077,-87.734739754,8102
41.943237122,-87.643470956,8013
41.91922505,-87.671445766,7985
41.77887686,-87.594925439,7772
41.972929317,-87.650290074,6968
41.94651142,-87.806020002,6966
41.934539716,-87.643022804,6890
41.921701492,-87.655911848,6558
41.949060526,-87.661642904,6468
41.839086906,-87.714003807,6462
41.706587882,-87.623366512,6145
41.7904694,-87.601285122,6119
41.979912445,-87.664188242,6034
41.936086535,-87.666110694,5965
41.860190019,-87.7172201,5707
41.945282331,-87.661545096,5574
41.84201118,-87.622036461,5542
41.740205756,-87.615969523,5515
41.972437081,-87.671109526,5508
41.920451512,-87.679954768,5499
41.957735565,-87.683718102,5300
41.817366208,-87.698860797,5245
41.982775009,-87.8773054,5225
42.001698194,-87.673574032,5020
41.980157574,-87.652274017,4902
41.80901825,-87.659166599,4403
41.82371281,-87.602350437,4389
41.911972301,-87.683642922,4334
41.763246799,-87.616134111,4310
41.928763006,-87.665676837,4132
41.892493167,-87.664745836,4112
41.965445784,-87.66319585,4000
41.928391397,-87.704907236,3996
41.851017824,-87.635091856,3933
41.941488234,-87.671107656,3721
41.892355048,-87.674506788,3640
41.952719111,-87.660503502,3564
41.827437232,-87.632558769,3455
41.957530922,-87.66661144,3393
41.950545696,-87.676182496,3380
41.892536872,-87.659864318,3369
41.792357223,-87.61793138,3312
41.9416281,-87.661443368,2957
41.777196255,-87.642497527,2953
41.941555829,-87.666288887,2925
41.779582888,-87.768510849,2918
41.994442248,-87.665224776,2868
41.966834067,-87.684018371,2789
41.861280847,-87.630580061,2698
41.805911699,-87.587479258,2512
41.834480698,-87.632959635,2438
41.920801704,-87.694532342,2403
41.744205146,-87.656305986,2286
41.916473316,-87.641183657,2283
41.810879008,-87.726363325,2219
41.950605232,-87.671332488,2197
41.987225558,-87.664937724,2186
41.771848515,-87.695666342,2090
41.741242728,-87.551428197,2079
42.001315924,-87.693637494,2058
41.792981903,-87.724208194,2035
41.928945904,-87.66089257,1929
41.929329713,-87.711974254,1881
41.950442599,-87.68350623,1861
41.899422254,-87.684490122,1804
41.878594358,-87.730232428,1735
41.935988906,-87.670966384,1729
41.934650448,-87.634647877,1719
41.970288894,-87.759857019,1703
41.745757713,-87.708365704,1651
41.80908443,-87.632424524,1645
41.9725808,-87.694001061,1607
41.775928827,-87.666596265,1586
41.963184966,-87.683854556,1538
41.929272532,-87.673807238,1527
41.928619051,-87.685362024,1523
41.967011761,-87.670621043,1517
41.929297368,-87.798032181,1516
41.795430631,-87.696435232,1515
41.985472422,-87.653793529,1496
41.690633347,-87.570058269,1488
41.729676423,-87.572717134,1480
41.769778059,-87.726929842,1450
41.944813754,-87.69077501,1445
41.884767784,-87.684147449,1437
41.892433156,-87.66962393,1414
42.007612593,-87.813781034,1406
41.744199535,-87.586348318,1317
41.969205937,-87.723168974,1295
41.978875058,-87.657871263,1254
41.717493036,-87.648895072,1239
41.915909788,-87.68382594,1168
41.963374382,-87.67018455,1128
41.972562538,-87.678845966,1125
41.957843375,-87.676373281,1110
41.921647132,-87.689951469,1043
41.993440946,-87.657417742,1041
41.979855309,-87.694096022,1010
41.99438102,-87.672538401,1000
41.994059824,-87.694630719,999
41.982272929,-87.841586432,992
41.912431869,-87.670189148,992
41.892276708,-87.679397479,940
41.886005786,-87.671873941,938
41.949974454,-87.730684255,924
41.689729914,-87.669054403,902
41.963633169,-87.652365359,894
41.928431564,-87.699968591,890
41.912868922,-87.641070746,864
41.713148612,-87.675075312,838
41.871689474,-87.654092652,816
41.965141709,-87.676578071,809
41.986953058,-87.672080994,777
42.001313249,-87.684198195,772
41.706125752,-87.598255838,763
41.885621155,-87.698891591,757
41.991234532,-87.65730427,747
41.877383471,-87.680654116,738
41.93749397,-87.709987338,726
41.942488155,-87.747154322,721
41.673819904,-87.635739777,715
41.950212096,-87.712814232,704
41.994266094,-87.678688211,654
41.797965209,-87.589607031,653
41.958797863,-87.738393906,638
41.874176625,-87.661861124,630
41.921273105,-87.68508211,608
41.957903897,-87.671518011,600
41.94136566,-87.680826903,588
41.841691119,-87.612563947,584
41.983330806,-87.681993542,578
41.915741193,-87.692256326,557
41.957360691,-87.722822251,538
41.950404411,-87.702007128,530
41.860762262,-87.700691903,527
41.994225234,-87.686076881,521
41.988704022,-87.657234828,518
41.856333217,-87.659564239,509
42.009018227,-87.672723959,506
41.935983574,-87.675821928,471
41.994143646,-87.704893486,451
41.942872538,-87.701330291,443
41.967288614,-87.652435,442
41.728182061,-87.596475596,435
41.957264108,-87.730898785,430
41.986808626,-87.694415191,402
41.863118103,-87.672920435,402
41.863787123,-87.692515928,398
41.966806346,-87.694020097,388
41.899445769,-87.68931919,381
41.980843616,-87.736083927,374
42.016046492,-87.673333778,374
41.694878966,-87.713192497,366
41.957651916,-87.691530248,354
41.891697045,-87.702105247,347
41.906771332,-87.681025231,337
41.985476499,-87.65839767,331
41.941422478,-87.675953932,322
41.797153425,-87.582365702,321
42.015934376,-87.666536278,312
41.945010151,-87.680928225,311
41.8713514,-87.6886749,306
42.000320306,-87.6631268,290
41.906707792,-87.684685949,286
41.869274453,-87.664047241,285
41.935749459,-87.680980301,278
41.945069205,-87.67606274,271
41.707311449,-87.534902901,268
41.972035672,-87.686099898,257
42.004764559,-87.659122427,255
41.906638542,-87.689579834,254
42.009412547,-87.663958214,247
42.006278861,-87.66768361,244
41.663670652,-87.540935513,242
41.900560384,-87.69419737,231
42.004517488,-87.663327859,230
41.834673598,-87.610834737,223
41.921019607,-87.710359144,220
41.964506955,-87.70273347,218
41.959210185,-87.712973172,214
41.935438915,-87.693325868,196
42.000874825,-87.701802904,196
41.892196429,-87.6842894,194
42.01569675,-87.699663042,171
41.990064253,-87.72396783,168
41.978294249,-87.716430416,167
41.960675697,-87.752409137,166
41.955771787,-87.701213104,165
41.995512991,-87.655814902,163
41.964647733,-87.725891015,162
41.660136051,-87.60284764,160
41.950077635,-87.722610871,150
41.980606166,-87.654537868,150
41.841928026,-87.62836651,146
41.790566628,-87.594015444,141
41.935706471,-87.703854544,141
